"code","type","floor","status","companyName","companyNameEng","shortName","listedDate","delistedDate","companyId","isin","indexCode"
"NDN","STOCK","HNX","listed","Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng","Danang Housing Investment Development Joint Stock Company","ĐTPT Nhà Đà Nẵng","2011-04-21",,"2928","VN000000NDN4","HNX30"
"L18","STOCK","HNX","listed","Công ty Cổ phần Đầu tư và Xây dựng số 18","Construction and Investment JSC No18","Xây dựng số 18","2008-04-23",,"2312","VN000000L185","HNX30"
"BLF","STOCK","HNX","listed","Công ty Cổ phần Thủy sản Bạc Liêu","Bac Lieu Fisheries Joint Stock Company","Thủy sản Bạc Liêu","2008-06-02",,"2329","VN000000BLF8",
"VCC","STOCK","HNX","listed","Công ty Cổ phần Vinaconex 25","Vinaconex 25 Joint Stock Company","CTCP Vinaconex 25","2009-02-05",,"839","VN000000VCC2",
"ONE","STOCK","HNX","listed","Công ty Cổ phần Truyền thông số 1","ONE Corporation","Truyền thông số 1","2008-06-25",,"2347","VN000000ONE0",
"NET","STOCK","HNX","listed","Công ty Cổ phần Bột giặt Net","Net Detergent Join Stock Company","CTCP Bột giặt Net","2010-09-15",,"2974","VN000000NET9",
"SDS","STOCK","HNX","delisted","Công ty Cổ phần Xây lắp và Đầu tư Sông Đà","SongDa Construction and Investment Joint Stock Company",,"2008-07-23","2012-09-13","2364",,
"DHL","STOCK","HNX","delisted","Công ty Cổ phần Cơ khí Vận tải Thương mại Đại Hưng ",,,"2012-06-06","2013-09-20","3483",,
"ALT","STOCK","HNX","listed","Công ty Cổ phần văn hoá Tân Bình ","Alta Company","Văn hoá Tân Bình","2009-07-27",,"960","VN000000ALT1",
"ARM","STOCK","HNX","listed","Công ty Cổ phần Xuất nhập khẩu Hàng không","General Aviation Import Export Joint Stock Company","XNK Hàng không","2010-10-26",,"3021","VN000000ARM3",
"GBS","STOCK","HNX","delisted","Công ty Cổ phần Chứng khoán Golden Bridge Việt Nam ","Golden Bridge Viet Nam Securities Joint Stock Company",,"2010-10-11","2013-10-22","3022",,
"HJS","STOCK","HNX","listed","Công ty Cổ phần Thủy điện Nậm Mu ","Nam Mu Hydropower Joint Stock Company","Thủy điện Nậm Mu","2006-12-20",,"1260","VN000000HJS2",
"S55","STOCK","HNX","listed","Công ty Cổ phần Sông Đà 505","Song Da 505 Joint Stock Company","CTCP Sông Đà 505","2006-12-22",,"1268","VN000000S552",
"VNC","STOCK","HNX","listed","Công ty Cổ phần Tập đoàn Vinacontrol","The Vietnam Superintendence and Inspection JSC","TĐ Vinacontrol","2006-12-21",,"1279","VN000000VNC9",
"DNP","STOCK","HNX","listed","Công ty Cổ phần DNP Holding","DNP Holding Joint Stock Company","Công ty DNP Holding","2009-06-29",,"1281","VN000000DNP9",
"TMC","STOCK","HNX","listed","Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức","THUDUC TRADING OIL AND GAS PETROLEUM JOINT STOCK COMPANY.","T.mại XNK Thủ Đức","2009-06-08",,"1289","VN000000TMC5",
"EID","STOCK","HNX","listed","Công ty Cổ phần Đầu tư và Phát triển giáo dục Hà Nội","Ha Noi Education Investment and Development Joint Sctock Company","ĐTPT giáo dục HN","2009-08-11",,"2504","VN000000EID3",
"IDJ","STOCK","HNX","listed","Công ty cổ phần Đầu tư IDJ Việt Nam","IDJ VIETNAM INVESTMENT JOINT STOCK COMPANY","Đầu tư IDJ Việt Nam","2010-09-13",,"2518","VN000000IDJ2",
"NAG","STOCK","HNX","listed","Công ty Cổ phần Tập đoàn Nagakawa","Nagakawa Group Joint Stock Company","Nagakawa Group","2009-09-22",,"2527","VN000000NAG4",
"GIC","STOCK","HNX","listed","Công ty Cổ phần Đầu tư dịch vụ và Phát triển Xanh","GREEN DEVELOPMENT AND INVESTMENT SERVICE JOINT STOCK COMPANY","Đầu tư dịch vụ và Phát triển Xanh","2020-11-06",,"8517","VN000000GIC0",
